                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-macos-21.4.1"                                 "CRMATH"                               "20211018"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      708                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8321514770497120E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8321514770497120E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481273213375E+000                 -8.5272931471044942E+001                 -9.8999999999999986E+001                 -5.2182481273213375E+000                 -5.2182481273472501E+000                 -1.5442510818698040E+001                 -8.5272931471044942E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985116531670E+000                  1.2525802265422270E-001                  2.9668514888527492E-001                  3.8446973295325830E+000                  1.3958884884482729E-006                  1.4770891331753221E+001                  5.1258646824112825E-002                  6.5951577528172365E+000                  6.2124805415339091E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                       5                                      708                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401342216900E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401342216900E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481272720667E+000                 -8.5272931470633338E+001                 -2.1072099696478681E+001                 -5.2182481272720658E+000                 -5.2182481272979793E+000                 -1.5442510818541024E+001                 -8.5272931470633338E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985549801903E+000                  1.2525819607323765E-001                  2.9668514894073533E-001                  3.8446973294216624E+000                  1.8197757936461365E-010                  1.4770891331773630E+001                  5.1258646839713796E-002                  6.5951577528220362E+000                  6.2124805415338802E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      10                                      708                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401315485037E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401315485037E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481271242107E+000                 -8.5272931469390542E+001                 -2.1072099696478681E+001                 -5.2182481271242107E+000                 -5.2182481271501233E+000                 -1.5442510818067159E+001                 -8.5272931469390542E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985565059960E+000                  1.2525820216165767E-001                  2.9668514893333386E-001                  3.8446973294364652E+000                 -9.2192919374712761E-010                  1.4770891331834218E+001                  5.1258646885696153E-002                  6.5951577528366183E+000                  6.2124805415337947E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        3 
                                      15                                      708                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401247073190E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401247073190E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481267496899E+000                 -8.5272931466231299E+001                 -9.8999999999999986E+001                 -5.2182481267496899E+000                 -5.2182481267756025E+000                 -1.5442510816863368E+001                 -8.5272931466231299E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985570520725E+000                  1.2525820427478401E-001                  2.9668514889774478E-001                  3.8446973295076434E+000                 -1.1570631083723411E-009                  1.4770891331987050E+001                  5.1258647001327991E-002                  6.5951577528737557E+000                  6.2124805415335826E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      20                                      708                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401074274982E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.3151401074274982E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481258100450E+000                 -8.5272931458295545E+001                 -9.8999999999999986E+001                 -5.2182481258100450E+000                 -5.2182481258359577E+000                 -1.5442510813840011E+001                 -8.5272931458295545E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985570008397E+000                  1.2525820387087880E-001                  2.9668514879825708E-001                  3.8446973297066189E+000                 -1.2255742220783322E-009                  1.4770891332369686E+001                  5.1258647290445249E-002                  6.5951577529671148E+000                  6.2124805415330442E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      25                                      708                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.2024064226360192E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  3.2024064226360192E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481234662195E+000                 -8.5272931438492051E+001                 -9.8999999999999986E+001                 -5.2182481234662195E+000                 -5.2182481234921321E+000                 -1.5442510806295971E+001                 -8.5272931438492051E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985573491340E+000                  1.2525820479080541E-001                  2.9668514856163269E-001                  3.8446973301798675E+000                 -1.3376236809240057E-009                  1.4770891333323577E+001                  5.1258648010886913E-002                  6.5951577532001542E+000                  6.2124805415316975E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      30                                      708                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.9906702520413773E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.9906702520413773E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481176270672E+000                 -8.5272931389150074E+001                 -2.1072099696478681E+001                 -5.2182481176270672E+000                 -5.2182481176529798E+000                 -1.5442510787498312E+001                 -8.5272931389150074E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985563201971E+000                  1.2525819943169525E-001                  2.9668514793995004E-001                  3.8446973314232329E+000                 -1.4482479741889856E-009                  1.4770891335699325E+001                  5.1258649804862763E-002                  6.5951577537809047E+000                  6.2124805415283468E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      35                                      708                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8758314369634573E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8758314369634573E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182481030902217E+000                 -8.5272931266319262E+001                 -2.0470039705150718E+001                 -5.2182481030902208E+000                 -5.2182481031161343E+000                 -1.5442510740698753E+001                 -8.5272931266319262E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985567260155E+000                  1.2525819808459565E-001                  2.9668514645476385E-001                  3.8446973343936053E+000                 -1.2819238404284779E-009                  1.4770891341613169E+001                  5.1258654270167986E-002                  6.5951577552268912E+000                  6.2124805415199957E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2 
                                      40                                      708                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8458891837871642E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.8458891837871642E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2182480669112641E+000                 -8.5272930960638092E+001                 -9.8999999999999986E+001                 -5.2182480669112641E+000                 -5.2182480669371767E+000                 -1.5442510624225205E+001                 -8.5272930960638092E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442985546206836E+000                  1.2525818213654216E-001                  2.9668514269140112E-001                  3.8446973419203307E+000                 -1.3114424068363367E-009                  1.4770891356330889E+001                  5.1258665382540432E-002                  6.5951577588258763E+000                  6.2124805414992146E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861349E-003                  9.3805276451495410E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                                        0                                        5 
